REGIONE	TIPO	FUNZIONE	MONOMULTI	OPENGG	UTENTIATT_TOT	PATRIMONIO_TOT	PINT_BEF	PINT_AFT	PEST_BEF	PEST_AFT	CONSUL_BEF	CONSUL_AFT	VOL_BEF	TIRO_BEF	DIGITAL_AFT	PIATDIG_AFT	LABO_AFT	ONLINE_AFT	SOCIAL_AFT	ACCESSO_AFT	PRESTITO_AFT
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	24	50	10000	0	0	0	0	0	0	1	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Conservazione	Multidisciplinare	203	2500	300000	5	4	2	2	0	0	0	0	SI	SI	NO	NO	NO	NO	NO
Abruzzo	Privata	Servizi_specializzati	Specialistico	225	674	40000	2	0	0	0	3	0	3	0	SI	SI	NO	SI	NO	SI	NO
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	120	150	8000	1	0	0	0	0	0	3	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Privata	Conservazione	Specialistico	140	400	30000	3	3	0	0	2	1	0	0	SI	NO	SI	SI	SI	NO	NO
Abruzzo	Privata	Servizi_specializzati	Specialistico	35	90	4000	0	0	0	0	0	0	2	0	SI	SI	NO	NO	NO	SI	NO
Abruzzo	Privata	Servizi_specializzati	Multidisciplinare	16	20	5800	0	0	0	0	0	0	20	0	SI	SI	SI	SI	SI	NO	SI
Abruzzo	Pubblica	Conservazione	Specialistico	280	30	4500	1	1	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	90	8	300	0	0	0	2	0	0	2	0	NO	NO	NO	NO	NO	NO	SI
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	61	30	1230	0	0	0	0	0	0	5	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	365	0	500	1	1	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Servizi_specializzati	Specialistico	120	1	2080	0	0	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Privata	Servizi_specializzati	Specialistico	51	30	15009	2	1	0	0	0	0	0	0	SI	SI	NO	NO	SI	NO	NO
Abruzzo	Pubblica	Servizi_specializzati	Specialistico	50	35	12119	0	0	0	0	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	140	1750	40000	2	2	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	30	30	7000	2	1	0	0	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Abruzzo	Privata	Servizi_specializzati	Multidisciplinare	30	30	8000	2	1	0	0	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Servizi_specializzati	Specialistico	204	70	15456	1	1	0	0	5	5	5	0	SI	NO	NO	NO	SI	SI	NO
Abruzzo	Privata	Servizi_specializzati	Specialistico	60	30	500	1	1	0	0	0	0	0	0	SI	NO	NO	SI	SI	NO	NO
Abruzzo	Pubblica	Pubblica_lettura	Multidisciplinare	27	50	200	9	0	0	0	0	0	5	0	NO	NO	NO	NO	NO	NO	NO
Abruzzo	Pubblica	Servizi_specializzati	Specialistico	46	300	20000	3	3	2	2	0	0	0	0	SI	NO	NO	NO	NO	SI	NO
Basilicata	Pubblica	Servizi_specializzati	Multidisciplinare	70	100	16000	1	2	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	SI
Basilicata	Pubblica	Pubblica_lettura	Multidisciplinare	90	500	7000	3	1	0	0	0	0	2	3	NO	NO	NO	NO	NO	NO	NO
Basilicata	Pubblica	Pubblica_lettura	Multidisciplinare	100	10	1000	1	1	1	1	1	12	2	0	NO	NO	NO	NO	NO	NO	NO
Basilicata	Pubblica	Pubblica_lettura	Multidisciplinare	80	0	15000	1	1	0	0	1	1	1	1	NO	NO	SI	NO	NO	NO	NO
Basilicata	Pubblica	Pubblica_lettura	Multidisciplinare	40	0	12577	0	0	3	3	0	0	0	0	NO	NO	NO	NO	NO	NO	SI
Basilicata	Pubblica	Servizi_specializzati	Specialistico	182	60	4800	2	2	0	0	0	0	0	0	NO	NO	NO	NO	NO	SI	NO
Basilicata	Pubblica	Conservazione	Multidisciplinare	40	10	500	1	0	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Basilicata	Pubblica	Pubblica_lettura	Multidisciplinare	132	1980	2650	3	3	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Basilicata	Pubblica	Pubblica_lettura	Multidisciplinare	365	2	1000	2	2	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Basilicata	Pubblica	Servizi_specializzati	Multidisciplinare	20	50	5781	1	1	0	0	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Basilicata	Privata	Conservazione	Multidisciplinare	150	50	8000	1	1	0	0	0	0	0	0	SI	NO	NO	SI	SI	SI	SI
Basilicata	Privata	Servizi_specializzati	Specialistico	150	50	5000	4	4	0	0	0	0	0	0	SI	NO	NO	NO	SI	NO	NO
Basilicata	Pubblica	Pubblica_lettura	Multidisciplinare	3	0	5000	1	0	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Basilicata	Privata	Servizi_specializzati	Specialistico	45	15	3500	0	0	0	0	0	0	1	0	NO	SI	NO	NO	NO	NO	SI
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	36	3	1200	1	0	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	20	0	2000	0	0	0	0	0	0	10	0	NO	NO	SI	SI	SI	NO	NO
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	120	0	2000	0	0	1	1	0	0	0	1	NO	NO	NO	NO	NO	NO	NO
Calabria	Pubblica	Servizi_specializzati	Specialistico	120	400	13500	2	1	0	0	0	0	0	0	SI	NO	NO	NO	NO	SI	NO
Calabria	Privata	Servizi_specializzati	Multidisciplinare	55	30	16000	2	1	2	1	3	1	5	1	SI	SI	NO	SI	SI	NO	SI
Calabria	Privata	Servizi_specializzati	Multidisciplinare	200	615	12753	3	3	0	0	0	0	18	0	SI	SI	SI	NO	SI	SI	SI
Calabria	Privata	Servizi_specializzati	Specialistico	90	10	5000	0	0	0	0	0	0	10	1	NO	SI	NO	NO	NO	NO	NO
Calabria	Privata	Servizi_specializzati	Multidisciplinare	140	0	7000	2	0	0	0	1	1	2	0	NO	NO	NO	NO	NO	NO	NO
Calabria	Privata	Servizi_specializzati	Multidisciplinare	234	759	30076	1	1	0	0	0	0	0	0	SI	SI	NO	NO	NO	SI	NO
Calabria	Pubblica	Conservazione	Specialistico	69	15	10000	0	0	0	0	0	0	0	1	SI	NO	NO	NO	NO	NO	SI
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	70	30	1000	0	0	0	0	0	0	1	0	NO	NO	NO	NO	NO	NO	NO
Calabria	Privata	Servizi_specializzati	Multidisciplinare	80	300	12600	30	30	0	0	1	1	30	0	SI	NO	SI	SI	SI	NO	SI
Calabria	Privata	Servizi_specializzati	Specialistico	78	15	22124	1	1	0	0	1	1	2	0	NO	NO	NO	NO	NO	NO	NO
Calabria	Privata	Servizi_specializzati	Specialistico	150	20	4500	3	3	0	0	0	0	2	0	SI	NO	SI	SI	NO	NO	SI
Calabria	Pubblica	Servizi_specializzati	Specialistico	40	60	4500	1	1	0	0	0	0	0	0	SI	NO	NO	NO	NO	NO	NO
Calabria	Pubblica	Servizi_specializzati	Specialistico	5	85	5240	1	1	1	1	0	0	1	1	NO	NO	NO	SI	SI	NO	SI
Calabria	Pubblica	Pubblica_lettura	Multidisciplinare	40	0	500	0	0	0	0	0	0	0	0	NO	NO	NO	NO	NO	NO	NO
Calabria	Pubblica	Conservazione	Multidisciplinare	40	200	40000	0	0	5	5	0	0	0	0	SI	SI	NO	NO	NO	SI	SI
